texto,label
DPQ.100,Identificador
"How difficult have these problems made it for you to do your work take care of things at home, or get along with people?",Pergunta
Not at all,Resposta
SEVERAL DAYS,Resposta
Somewhat difficult,Resposta
Very difficult,Resposta
Extremely difficult,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
DPQ.080,Identificador
"Over the last 2 weeks, how often have you been bothered by the following problems:",Instrução
moving or speaking so slowly that other people could have noticed?,Pergunta
DPQ.100,Identificador
"How difficult have these problems made it for you to do your work, take care of things at home, or get along with people?",Pergunta
How often have you felt tired or low on energy over the past two weeks?,Pergunta
How difficult was it to concentrate on simple tasks recently?,Pergunta
Have you had trouble sleeping or staying asleep during the past two weeks?,Pergunta
"How often did you feel down, depressed or hopeless?",Pergunta
Have you experienced a loss of appetite or overeating?,Pergunta
Have you had little interest or pleasure in doing things?,Pergunta
Do you feel like you are a failure or let your family down?,Pergunta
Has it been hard to do your work or take care of things at home?,Pergunta
"In the last two weeks, have you been bothered by poor appetite?",Pergunta
Have you been moving around more than usual or been unusually restless?,Pergunta
Did you have difficulty reading the newspaper or watching TV?,Pergunta
Have you been bothered by trouble concentrating on things?,Pergunta
Have you had thoughts that you'd be better off dead?,Pergunta
How would you describe your level of difficulty in handling daily activities?,Pergunta
Do you find it difficult to get along with other people?,Pergunta
Have you struggled to stay focused on tasks at work or home?,Pergunta
How often do you feel very fidgety or restless?,Pergunta
How difficult was it for you to keep up with basic responsibilities?,Pergunta
Not at all,Resposta
Several days,Resposta
More than half the days,Resposta
Nearly every day,Resposta
Somewhat difficult,Resposta
Very difficult,Resposta
Extremely difficult,Resposta
REFUSED,Resposta
DON'T KNOW,Resposta
REC.155,Identificador
"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",Pergunta
MUCH MORE THAN USUAL,Resposta
USUAL,Resposta
MUCH LESS THAN USUAL,Resposta
COMMUNITY WATER,Resposta
A WELL OR RAIN CISTERN,Resposta
A SPRING,Resposta
NEVER DRINK TAP WATER,Resposta
OTHER (SPECIFY),Resposta
REC.265,Identificador
"When you drink tap water, what is the main source of the tap water? Is the city water supply (community water supply); a well or rain cistern; a spring; or something else?",Pergunta
REC.325,Identificador
Now I'll be asking some questions about {your/NAME's} use of table salt.,Instrução
"What type of salt {do you/does NAME} usually add to {your/his/her} food at the table? Would you say it is ordinary salt, sea salt, lite salt, or a salt substitute?",Pergunta
"ORDINARY, SEA, SEASONED, OR OTHER FLAVORED SALT [includes regular iodized salt,sea salt and seasoning salts made with regular salt]",Resposta
LITE SALT,Resposta
SALT SUBSTITUTE,Resposta
NONE,Resposta
REC.330,Identificador
"How often {do you/does NAME} add this salt to {your/his/her} food at the table? Is it rarely,occasionally, or very often?",Pergunta
RARELY,Resposta
OCCASIONALLY,Resposta
VERY OFTEN,Resposta
REC.335,Identificador
"How often is ordinary salt or sea salt added in cooking or preparing foods in your household? Is it never, rarely, occasionally, or very often?",Pergunta
NEVER,Resposta
"[THIS QUESTION APPLIES ONLY TO USE OF ORDINARY SALT, SEA SALT OR SEASONED SALT AND NOT TO LITE SALT OR SALT SUBSTITUTES.]",Instrução
REC.336,Identificador
"This next question is about {your/NAME’s} use of salt at the table yesterday. Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary salt, sea salt, lite salt, or a salt substitute.",Pergunta
YES,Resposta
NO,Resposta
REC.337,Identificador
"What type of salt was it? (Was it ordinary salt, sea salt, lite salt, or a salt substitute?)",Pergunta
"ORDINARY, SEA, SEASONED, OR OTHER FLAVORED SALT [includes regular iodized salt,sea salt and seasoning salts made with regular salt]",Resposta
REC.340,Identificador
"{Are you/Is NAME} currently on any kind of diet, either to lose weight or for some other health-related reason?",Pergunta
REC.345,Identificador
What kind of diet {are you/is NAME} on?[READ AS NEEDED: Is it a weight loss or low calorie diet; low fat or cholesterol diet; low salt or sodium diet; diabetic diet; or another type of diet?],Pergunta
WEIGHT LOSS OR LOW CALORIE DIET,Resposta
LOW FAT OR CHOLESTER DIET,Resposta
LOW SALT OR SODIUM DIET,Resposta
LOW FIBER DIET,Resposta
HIGH FIBER DIET,Resposta
DIABETIC DIET,Resposta
LOW CARBOHYDRATE DIET,Resposta
HIGH PROTEIN DIET,Resposta
WEIGHT GAIN DIET,Resposta
GLUTEN-FREE OR CELIAC DIET,Resposta
RENAL OR KIDNEY DIET,Resposta
OTHER(SPECIFY),Resposta
DRQ.361,Identificador
Please look at this list of fish,Instrução
"During the past 30 days, did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads.",Pergunta
DRQ. 370,Identificador
"During the past 30 days, which types of fish did you eat and how many times did you eat them?",Pergunta
"Type listed: breaded fish products, tuna (canned or fresh), bass, catfish, cod, flatfish, haddock,mackerel, perch, pike, pollock, porgy, salmon, sardines, sea bass, shark, swordfish, trout, walleye,other type of fish and unknown type of fish.",Instrução
"Interviewer instruction:Check each type of shellfish the SP reports eating, and then ask and record the number of times each type was eaten",Instrução
DRQ.380,Identificador
Please look at this list of shellfish.,Instrução
"During the past 30 days, did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.",Pergunta
DRQ. 390,Identificador
"During the past 30 days, which types of shellfish did you eat and how many times did you eat them?",Pergunta
"Type listed: clams, crab, crayfish (crawfish), lobster, mussels, oysters, scallops, shrimp, other shellfish (for example, octopus, squid) and unknown type of shellfish.",Instrução
HSQ.500,Identificador
The next questions are about {your/SP's} recent health during the 30 days outlined on the calendar.,Instrução
Did {you/SP} have a head cold or chest cold that started during those 30 days?,Pergunta
HSQ.510,Identificador
Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?,Pergunta
HSQ.520,Identificador
"Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?",Pergunta
05PUQ.100,Identificador
"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches,ants, termites, or other insects?",Pergunta
05PUQ.110,Identificador
"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?",Pergunta
CODE ‘NO’ IF THE RESPONDENT SAYS S/HE DOES NOT HAVE A LAWN OR GARDEN.,Instrução
"The next question is about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine,wine coolers, and any other type of alcoholic beverage. By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, orone and a half ounces of liquor",Instrução
ALQ1 (Here are some examples of an alcoholic drink),Instrução
ALQ.170,Identificador
"Considering all types of alcoholic beverages, during the past 30 days, how many times did {you/SP} have {DISPLAY NUMBER} or more drinks on an occasion?",Pergunta
ENTER '0' FOR NEVER.,Instrução
CAPI INSTRUCTION:,Instrução
"IF SP = MALE, DISPLAY = 5",Instrução
"IF SP = FEMALE, DISPLAY = 4",Instrução
"SOFT EDIT: IF RESPONSE IS > 60 TIMES, THEN DISPLAY “YOU SAID THAT IN THE PAST 30 DAYS, YOU HAD {DISPLAY NUMBER} OR MORE DRINKS OF ANY KIND OF ALCOHOL ON AN OCCASION, (DISPLAY QUANTITY) TIMES. IS THAT CORRECT”?",Pergunta
|___|___|,Resposta
ENTER QUANTITY,Resposta
SMQ.681,Identificador
The following questions ask about use of tobacco products in the past 5 days.,Instrução
"During the past 5 days, including today, did {you/he/she} smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?",Pergunta
SMQ.692,Identificador
Which of these products did {you/he/she} smoke?,Pergunta
Cigarettes,Resposta
Pipes,Resposta
"Cigars, or little cigars, or cigarillos",Resposta
Water pipes or Hookahs,Resposta
E-cigarettes,Resposta
SMQ.710,Identificador
HARD EDIT: RANGE 1 – 5,Instrução
"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?",Pergunta
|___|,Resposta
ENTER NUMBER OF DAYS,Resposta
SMQ.720,Identificador
"IF R SAYS 95 OR MORE CIGARETTES PER DAY, ENTER 95.",Instrução
HARD EDIT: RANGE 1 – 95.,Instrução
"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?",Pergunta
|___|___|,Resposta
ENTER NUMBER OF CIGARETTES,Resposta
SMQ.725,Identificador
When did {you/he/she} smoke {your/his/her} last cigarette? Was it . . .,Pergunta
"today,",Resposta
"yesterday, or",Resposta
3 to 5 days ago?,Resposta
SMQ.740,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?",Pergunta
SMQ.771,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?",Pergunta
SMQ.845,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?",Pergunta
SMQ.849,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?",Pergunta
SMQ.851,Identificador
"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables.",Instrução
"(Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)",Instrução
"During the past 5 days, including today, did {you/he/she} use any smokeless tobacco?",Pergunta
SMQ.853,Identificador
(CHECK ALL THAT APPLY),Instrução
Which of these products did {you/he/she} use?,Pergunta
Chewing tobacco,Resposta
Snuff,Resposta
Snus,Resposta
Dissolvables,Resposta
SMQ.800,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?",Pergunta
SMQ.817,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?",Pergunta
SMQ.857,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} use snus?",Pergunta
SMQ.861,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} use dissolvables such as strips or orbs?",Pergunta
SMQ.863,Identificador
"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",Pergunta
SMQ.831,Identificador
"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",Pergunta
SMQ.841,Identificador
When did {you/he/she} last use a nicotine replacement therapy product? Was it . . .,Pergunta
SMQ.860,Identificador
The next questions are about {your/his/her} exposure to other people’s tobacco smoke.,Instrução
"During the last 7 days, did {you/SP} spend time in a restaurant?",Pergunta
SMQ.862,Identificador
"While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?",Pergunta
SMQ.870,Identificador
"During the last 7 days, did {you/SP} ride in a car or motor vehicle?",Pergunta
SMQ.872,Identificador
"While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?",Pergunta
SMQ.874,Identificador
"During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?",Pergunta
SMQ.876,Identificador
"While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?",Pergunta
SMQ.878,Identificador
"During the last 7 days, {were you/was SP} in any other indoor area?",Pergunta
SMQ.880,Identificador
"While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?",Pergunta
SMQ.940,Identificador
The next question is about e-cigarettes.,Instrução
"During the last 7 days, {were you/was SP} in an indoor place where someone was using an e-cigarette, e-hookah, vape-pen or other similar electronic product?",Pergunta
ENTER QUANTITY,Resposta
DBQ.010,Identificador
Now I'm going to ask you some general questions about {SP's} eating habits.,Instrução
Was {SP} ever breastfed or fed breastmilk?,Pergunta
DBQ.030,Identificador
How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Pergunta
SOFT EDIT:  NUMBER CANNOT BE MORE THAN SP’S AGE.,Instrução
HARD EDIT:  AGE CANNOT BE ZERO BECAUSE AGE IN MONTHS IS ALLOWED.,Instrução
ENTER NUMBER,Resposta
STILL BREASTFEEDING,Resposta
|___|___|___|___|,Resposta
"ENTER AGE IN DAYS, WEEKS, MONTHS OR YEARS",Resposta
|___|,Resposta
ENTER UNIT,Resposta
DAYS,Resposta
WEEKS,Resposta
MONTHS,Resposta
YEARS,Resposta
DBQ.041,Identificador
How old was {SP} when {he/she} was first fed formula?,Pergunta
DBQ.050,Identificador
How old was {SP} when {he/she} completely stopped drinking formula?,Pergunta
STILL DRINKING FORMULA,Resposta
DBQ.055,Identificador
"This next question is about the first thing that {SP} was given other than breast milk or formula.  Please include juice, cow’s milk, sugar water, baby food, or anything else that {SP} might have been given, even water.",Instrução
How old was {SP} when {he/she} was first fed anything other than breast milk or formula?,Pergunta
INTERVIEWER INSTRUCTION:,Instrução
"DO NOT COUNT MEDICATIONS, VITAMIN DROPS, OR SMALL AMOUNT OF WATER THAT WAS USED FOR ORAL HYGIENE PURPOSES.",Instrução
DBQ.061,Identificador
How old was {SP} when {he/she} was first fed milk?,Pergunta
INCLUDE LACTAID AS MILK.,Instrução
DO NOT INCLUDE BREASTMILK OR FORMULA.,Instrução
HELP SCREEN:,Instrução
"Lactaid: A modified milk product that is often consumed by individuals who have lactose intolerance. Lactaid can be purchased in various forms (i.e., 2%, skim, etc.). If respondent does not give type, probe for type (i.e., was that Lactaid regular, 2%, 1% or skim?).",Instrução
Formula: A milk mixture or milk substitute that is fed to babies.,Instrução
DBQ.073,Identificador
What type of milk was {SP} first fed?  Was it . . .,Pergunta
CODE ALL THAT APPLY,Instrução
"whole or regular,",Resposta
"2% fat or reduced-fat milk,",Resposta
1% fat or low-fat milk (includes 0.5% fat,Resposta
"milk or “low-fat milk” not further specified),",Resposta
"fat-free, skim or nonfat milk,",Resposta
"soy milk, or",Resposta
another type?,Resposta
DBQ.700,Identificador
Next I have some questions about {your/SP’s} eating habits.,Instrução
"In general, how healthy is {your/his/her} overall diet?  Would you say . . .",Pergunta
"excellent,",Resposta
"very good,",Resposta
"good,",Resposta
"fail, or",Resposta
poor?,Resposta
DBQ.197,Identificador
{Next I have some questions about {SP’s} eating habits.},Instrução
"{First/Next}, I’m going to ask a few questions about milk products.  Do not include their use in cooking.",Instrução
"In  the  past  30  days,  how  often  did  {you/SP}  have  milk  to  drink  or  on  {your/his/her}  cereal?    Please  include  chocolate  and  other flavored milks as  well as hot cocoa made  with  milk.    Do not count small  amounts  of milk added to coffee or tea.  Would you say . . .",Pergunta
HAND CARD DBQ1,Instrução
CAPI INSTRUCTION:,Instrução
THIS SHOULD NOT BE A GATE QUESTION ANYMORE.,Instrução
"CAPI DISPLAY INSTRUCTIONS:  IF SP AGE 7-15 YEARS OLD, DISPLAY “{Next I have some questions about {SP’s} eating habits.}  First, I’m going to ask about milk products.  Do not include their use in cooking.”  IF SP AGE <= 6 OR => 16 YEARS OLD, DISPLAY “Next I’m going to ask a few questions about milk products.  Do not include their use in cooking.”",Instrução
"never,",Resposta
"rarely – less than once a week,",Resposta
"sometimes – once a week or more, but less than once a day, or",Resposta
often – once a day or more?,Resposta
VARIED,Resposta
DBQ.223,Identificador
What type of milk was it?  Was it usually . . .,Pergunta
"IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY.",Instrução
"whole or regular,",Resposta
"2% fat or reduced-fat milk,",Resposta
"1% fat or low-fat milk (includes 0.5% fat milk or “low-fat milk” not further specified), .",Resposta
"fat-free, skim or nonfat milk,",Resposta
"soy milk, or",Resposta
DBQ.229,Identificador
The next question is about regular milk use.,Instrução
"A regular milk drinker is someone who uses any type of milk at least 5 times a week.  Using this definition, which statement best describes {you/SP}?",Pergunta
HAND CARD DBQ2,Instrução
"{I've/He's/She's} been a regular milk drinker for most or all of {my/his/her}  life, including {my/his/her} childhood.",Resposta
{I've/He's/She's} never been a regular milk drinker.,Resposta
{my/his/her} life – sometimes {I've/he's/she's} been a regular milk drinker and sometimes {I have/he has/she has} not been a regular milk drinker.,Resposta
DBQ.235,Identificador
"Now, I’m going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.",Instrução
"How often did {you/SP} drink any type of milk, including milk added to cereal, when {you were/s/he was} . . .",Pergunta
HAND CARD DBQ3,Instrução
"IF NECESSARY, PROBE FOR USUAL OR MOST COMMON AMOUNT FOR THIS TIME PERIOD.",Instrução
THESE (A-C) SHOULD NOT BE GATE QUESTIONS ANYMORE.,Instrução
"rarely – less than once a week,",Resposta
a. a child between the ages of 5 and 12 years old?  Would you say. . .,Pergunta
"sometimes – once a week or more, but less than once a day, or",Resposta
often – once a day or more?,Resposta
b. a teenager between the ages of 13 and 17 years old?  Would you say . .,Pergunta
"c. a young adult between the ages of 18 and 35 years old?  Would you 
say . . .",Resposta
DBQ.301,Identificador
The next questions are about meals provided by community or government programs.,Instrução
"In  the  past  12  months,  did  {you/SP}  receive  any  meals  delivered  to  {your/his/her}  home  from  community  programs, “Meals on Wheels”, or any other programs?",Pergunta
DBQ.330,Identificador
"In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?",Pergunta
INCLUDE ADULT DAY CARE,Instrução
DBQ.360,Identificador
"During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?",Pergunta
INTERVIEWER INSTRUCTION:  ENTER ‘NO’ IF THE SP IS HOME SCHOOLED.,Instrução
DBQ.370,Identificador
Does {your/SP's} school serve school lunches?  These are complete lunches that cost the same every day.,Pergunta
DBQ.381,Identificador
"During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?",Pergunta
NONE,Resposta
HARD EDIT 1-5,Instrução
ENTER NUMBER OF TIMES,Resposta
DBQ.390,Identificador
"{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?",Pergunta
FREE,Resposta
REDUCED PRICE,Resposta
FULL PRICE,Resposta
DBQ.400,Identificador
Does {your/SP's} school serve a complete breakfast that costs the same every day?,Pergunta
DBQ.411,Identificador
"During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?",Pergunta
DBQ.421,Identificador
"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?",Pergunta
DBQ.424,Identificador
{Do you/Does SP} get a free or reduced price meal at any summer program {you/he/she} attends?,Pergunta
DID NOT ATTEND SUMMER PROGRAM,Resposta
FSQ.653,Identificador
Next are a few questions about the WIC program.,Instrução
"Has {SP} ever received benefits from WIC, that is, the Women, Infants, and Children program?",Pergunta
HELP SCREEN:,Instrução
"WIC:  WIC is short for the Special Supplemental Food Program for Women, Infants, and Children. This program provides  food  assistance  and  nutritional  screening  to  low-income  pregnant  and  postpartum  women  and  their  infants, as well as to low-income children up to age 5.",Instrução
FSQ.673,Identificador
Is {SP} now receiving benefits from the WIC program?,Pergunta
FSQ.675,Identificador
Did {SP} receive benefits from WIC when {he/she} was less than one year old?,Pergunta
FSQ.682,Identificador
"Did {SP} receive benefits from WIC when {he/she} {was/is} between the ages of {1 to {SP AGE/4} years old/12 to 
{SP AGE} months old}?",Pergunta
"If SP age = 1, DISPLAY “12 to {the current age of the SP in months} months old”;",Instrução
"If SP age >3, DISPLAY “1 to 4 years old”.",Instrução
FSQ.685,Identificador
How long {did SP receive/has SP been receiving} benefits from the WIC program?,Pergunta
"IF FSQ.673 = 1, DISPLAY HAS SP BEEN RECEIVING",Instrução
"OTHERWISE, DISPLAY DID SP RECEIVE",Instrução
ENTER NUMBER (OF MONTHS OR YEARS),Resposta
FSQ.690,Identificador
"Did {SP’s} mother receive benefits from WIC, while she was pregnant with {SP}?",Pergunta
FSQ.695,Identificador
How many months pregnant was {SP’s} mother when she began to receive WIC benefits?,Pergunta
DBQ.895,Identificador
"Next I’m going to ask you about meals.  By meal, I mean breakfast, lunch and dinner.  During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines?",Pergunta
"{Please  do  not  include  meals  provided  as  part  of  the  school  lunch  or  school  breakfast./Please  do  not  include  
meals provided as part of the community programs you reported earlier.}",Instrução
"IF DBQ381G = 1 OR DBQ.411G = 1, DISPLAY {Please do not include meals provided as part of the school lunch or school breakfast.}",Instrução
"IF DBQ.301 = 1 OR DBQ.330 = 1, DISPLAY {Please do not include meals provided as part of the community programs you reported earlier.}",Instrução
DBQ.900,Identificador
How many of those meals {did you/did SP} get from a fast-food or pizza place?,Pergunta
"NUMBER OF MEALS ENTERED IN DBQ.900 MUST BE EQUAL TO OR LESS THAN NUMBER ENTERED IN DBQ.895.  IF NOT, DISPLAY THE FOLLOWING:",Instrução
“THE NUMBER OF MEALS FROM A FAST FOOD OR PIZZA PLACE CANNOT BE GREATER THAN NUMBER OF MEALS PREPARED AWAY FROM HOME.”,Instrução
DBQ.905,Identificador
"Some  grocery  stores  sell  “ready  to  eat”  foods  such  as  salads,  soups,  chicken,  sandwiches  and  cooked  vegetables in their salad bars and deli counters.",Instrução
"During the past 30 days, how often did {you/SP} eat “ready to eat” foods from the grocery store?  Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods.",Pergunta
"SOFT EDIT IF RESPONSE IS GREATER THAN 6 TIMES A DAY. “THIS IS AN UNUSUALLY LARGE NUMBER OF TIMES PER DAY, PLEASE VERIFY THE ANSWER.”",Instrução
DBQ.910,Identificador
"During the past 30 days, how often did {you/SP} eat frozen meals or frozen pizzas?  Here are some examples of frozen meals and frozen pizzas.",Pergunta
CBQ.596,Identificador
Next I’m going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government.,Instrução
{Have you/Has SP} heard of My Plate?,Pergunta
CBQ.606,Identificador
{Have you/Has SP} looked up the My Plate plan on the internet?,Pergunta
CBQ.611,Identificador
{Have you/Has SP} tried to follow the recommendations in the My Plate plan?,Pergunta
DBQ.930,Identificador
{Are you/Is SP} the person who does most of the planning or preparing of meals in {your/SP’s} family?,Pergunta
"INTERVIEWER INSTRUCTION:  IF SP ANSWERS “SOMETIMES” OR “50/50”, ENTER YES.",Instrução
DBQ.935,Identificador
{Do you/Does SP} share in the planning or preparing of meals with someone else?,Pergunta
DBQ.940,Identificador
{Are you/Is SP} the person who does most of the shopping for food in {your/SP’s} family?,Pergunta
DBQ.945,Identificador
{Do you/Does SP} share in the shopping for food with someone else?,Pergunta
